,country,weight_muslim,religion,lwr_index,rwr_index,gex_index,polalien,PVJ13,PVJ32,lrscale,conspiracy,demidea,authority,lwe11,lwe23,lwe27,F8A2_1,lwe20,lwe8,rwe4,F11_4A4_1,rwe12,F11_4A2_1,rwe14,rwe15,rwe17,F11_4A1_1,F6_3A5_1,F6_4A4_1,F6_4A3_1,F6_4A1_1,F6A4_1,vote_all
4670,3.0,1.0991622209549,1.0,-0.891,-0.88325,-0.712,4.285714285714286,1.0,1.8,8.0,7.6,5.0,3.5,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
4671,3.0,1.0991622209549,2.0,-0.006000000000000002,1.168,0.365,3.8333333333333335,1.6666666666666667,1.2,9.0,6.666666666666667,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,2.0,1.0,0.0
4672,3.0,1.0991622209549,2.0,0.382,0.481,-0.035,4.285714285714286,1.1666666666666667,1.0,8.0,5.4,4.0,3.1666666666666665,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,16.0
4673,3.0,1.0991622209549,5.0,0.22499999999999998,0.12874999999999998,0.28,3.857142857142857,1.8333333333333333,2.6,,3.4,3.0,2.8333333333333335,3.0,3.0,,4.0,3.0,3.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,4.0,24.0
4674,3.0,1.0991622209549,5.0,0.457,0.955,0.961,2.5714285714285716,3.8333333333333335,2.8,8.0,4.8,2.0,2.5833333333333335,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,1.0,4.0,19.0
4675,3.0,1.0991622209549,5.0,0.40549999999999997,0.03674999999999999,-0.603,3.0,1.1666666666666667,1.0,2.0,6.6,5.0,3.75,2.0,3.0,,5.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0
4676,3.0,1.0991622209549,2.0,,,,2.7142857142857144,2.8333333333333335,3.2,8.0,6.0,3.0,3.1666666666666665,1.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,0.0
4677,3.0,1.0991622209549,4.0,0.8925000000000001,1.4655,0.038,4.0,4.0,3.6,8.0,5.0,2.0,2.8333333333333335,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,18.0
4678,3.0,1.0991622209549,4.0,0.2865,0.06650000000000002,-0.712,3.7142857142857144,2.0,1.0,,8.8,6.0,3.4166666666666665,1.0,4.0,4.0,4.0,,,5.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,23.0
4679,3.0,1.0991622209549,,0.10700000000000001,0.615,0.668,3.142857142857143,3.0,2.2,6.0,8.0,,3.4166666666666665,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,20.0
4680,3.0,1.0991622209549,5.0,0.6485000000000001,0.67675,0.791,3.857142857142857,1.0,2.2,6.0,7.0,4.0,3.0833333333333335,4.0,4.0,1.0,,5.0,3.0,3.0,3.0,4.0,5.0,,,2.0,2.0,2.0,4.0,3.0,1.0,5.0,0.0
4681,3.0,1.0991622209549,5.0,-0.132,-0.10450000000000001,0.545,3.2857142857142856,2.6666666666666665,3.0,8.0,8.0,5.0,2.8333333333333335,2.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,16.0
4682,3.0,1.0991622209549,5.0,-0.935,-0.782,-0.482,3.0,1.3333333333333333,1.2,3.0,3.0,6.0,2.0833333333333335,,,1.0,1.0,2.0,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
4683,3.0,1.0991622209549,5.0,0.3145,-0.029250000000000005,-0.144,3.0,1.5,1.6,3.0,,4.0,3.4166666666666665,,,,3.0,4.0,,2.0,,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,20.0
4684,3.0,1.0991622209549,2.0,-0.3165,-0.80325,-0.308,3.0,1.8,1.2,4.0,6.0,5.0,3.75,2.0,,,,2.0,,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,,1.0,22.0
4685,3.0,1.0991622209549,1.0,-0.167,-0.008999999999999996,-0.011,3.8,1.0,1.0,9.0,8.2,5.0,2.5,2.0,,,,,,4.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,25.0
4686,3.0,1.0991622209549,1.0,0.47300000000000003,0.777,0.63,5.0,1.0,3.8,,9.4,,3.5833333333333335,1.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,1.0,3.0,3.0,3.0,4.0,21.0
4687,3.0,1.0991622209549,5.0,,,,4.0,3.6666666666666665,3.0,5.0,5.4,5.0,2.9166666666666665,5.0,2.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,2.0,5.0,4.0,5.0,19.0
4688,3.0,1.0991622209549,2.0,0.6145,0.61125,0.63,3.5714285714285716,1.1666666666666667,2.2,6.0,7.2,3.0,3.0833333333333335,3.0,3.0,2.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,2.0,3.0,1.0,0.0
4689,3.0,1.0991622209549,4.0,-0.0535,-0.46349999999999997,0.11,3.142857142857143,1.0,1.0,4.0,7.0,4.0,2.9166666666666665,3.0,2.0,3.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,24.0
4690,3.0,1.0991622209549,5.0,-0.567,-0.08524999999999999,-0.603,3.4285714285714284,2.5,2.8,4.0,2.6,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,18.0
4691,3.0,1.0991622209549,1.0,0.9465,0.6745,1.041,3.6666666666666665,1.6666666666666667,1.0,,6.6,3.0,3.3333333333333335,4.0,,3.0,5.0,4.0,,3.0,4.0,4.0,,,,,3.0,2.0,4.0,4.0,3.0,3.0,18.0
4692,3.0,1.0991622209549,5.0,,-0.8352499999999999,0.472,2.3333333333333335,1.0,1.6,3.0,5.2,6.0,3.0833333333333335,,,,,,,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,19.0
4693,3.0,1.0991622209549,5.0,-0.5529999999999999,-1.0865,-0.712,1.8571428571428572,1.0,2.2,4.0,6.0,5.0,1.6666666666666667,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0
4694,3.0,1.0991622209549,5.0,-0.2375,-0.985,-0.603,4.0,1.1666666666666667,1.0,4.0,8.4,6.0,2.25,2.0,4.0,,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0
4695,3.0,1.0991622209549,5.0,,,,2.7142857142857144,2.5,3.0,7.0,5.6,4.0,3.25,2.0,2.0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,,4.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,19.0
4696,3.0,0.401199817657471,3.0,0.321,0.615,0.278,3.0,1.0,2.6,1.0,6.0,5.0,2.6666666666666665,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,21.0
4697,3.0,1.0991622209549,2.0,-0.552,-0.61875,0.616,2.7142857142857144,1.0,1.0,9.0,8.8,6.0,3.0833333333333335,1.0,4.0,5.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,16.0
4698,3.0,1.0991622209549,,,-0.05574999999999998,-0.412,3.6666666666666665,1.0,1.0,6.0,6.0,,3.1666666666666665,,,,,,,,4.0,3.0,,1.0,1.0,,,1.0,1.0,,1.0,3.0,0.0
4699,3.0,1.0991622209549,5.0,,-0.6154999999999999,-0.712,3.2,1.0,1.0,,6.5,6.0,3.8333333333333335,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
4700,3.0,1.0991622209549,5.0,,,,,1.6666666666666667,3.0,2.0,7.6,6.0,3.4166666666666665,3.0,3.0,,,5.0,3.0,1.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,,,,,,20.0
4701,3.0,1.0991622209549,5.0,-0.755,0.93075,-0.25,4.714285714285714,1.6666666666666667,3.4,8.0,7.8,5.0,2.75,1.0,3.0,1.0,4.0,1.0,1.0,5.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,
4702,3.0,1.0991622209549,5.0,1.081,-1.0865,-0.712,4.714285714285714,1.0,1.0,1.0,3.6,5.0,2.8333333333333335,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0
